rank,divisionRank,team,classification,conference,rating,wins,losses,ties,scheduleStrength
1,1,Notre Dame,fbs,FBS Independents,72.222344,3,0,0,45.604392
2,2,Alabama,fbs,SEC,71.494065,3,0,0,50.832423
3,3,Texas,fbs,SEC,68.601788,3,0,0,54.415571
4,4,Indiana,fbs,Big Ten,67.267362,3,0,0,33.527002
5,5,Utah,fbs,Big 12,67.047981,3,0,0,35.652332
6,6,Ohio State,fbs,Big Ten,66.89076,2,1,0,42.921437
7,7,Texas A&M,fbs,SEC,63.891742,2,1,0,47.236568
8,8,Ole Miss,fbs,SEC,63.863137,3,0,0,48.424207
9,9,Miami,fbs,ACC,63.009497,3,0,0,33.114562
10,10,Tennessee,fbs,SEC,62.599504,3,0,0,36.84101
11,11,BYU,fbs,Big 12,62.518197,3,0,0,38.981664
12,12,Texas Tech,fbs,Big 12,62.138977,3,0,0,42.069364
13,13,Georgia,fbs,SEC,62.114797,3,0,0,27.700407
14,14,LSU,fbs,SEC,62.011949,2,1,0,49.424255
15,15,Penn State,fbs,Big Ten,61.627612,3,0,0,36.330623
16,16,USC,fbs,Big Ten,60.406669,4,0,0,38.631894
17,17,Michigan,fbs,Big Ten,60.282355,3,0,0,46.260348
18,18,Oklahoma,fbs,SEC,60.037628,2,1,0,46.988595
19,19,Duke,fbs,ACC,59.79313,3,0,0,47.272265
20,20,Louisville,fbs,ACC,59.298205,2,1,0,48.299934
21,21,Vanderbilt,fbs,SEC,59.139926,3,0,0,42.040351
22,22,Iowa,fbs,Big Ten,58.919503,3,0,0,36.174717
23,23,Kansas State,fbs,Big 12,58.469645,3,0,0,36.559346
24,24,Florida,fbs,SEC,58.304794,3,0,0,40.870268
25,25,Pittsburgh,fbs,ACC,58.198834,3,0,0,41.777987
26,26,Nebraska,fbs,Big Ten,57.92789,3,0,0,35.244584
27,27,Arizona,fbs,Big 12,57.514038,2,1,0,41.012923
28,28,SMU,fbs,ACC,57.04795,2,1,0,49.074308
29,29,Mississippi State,fbs,SEC,56.742356,3,0,0,39.754761
30,30,Oregon,fbs,Big Ten,56.710658,2,1,0,37.415231
31,31,Washington,fbs,Big Ten,56.676457,3,0,0,36.332787
32,32,Kentucky,fbs,SEC,56.109586,2,1,0,56.57834
33,33,Northwestern,fbs,Big Ten,55.982116,2,0,0,40.049447
34,34,Illinois,fbs,Big Ten,55.922315,2,1,0,40.039632
35,35,Iowa State,fbs,Big 12,55.457995,2,1,0,36.422774
36,36,Auburn,fbs,SEC,55.327842,2,1,0,46.701703
37,37,UCLA,fbs,Big Ten,54.707642,3,0,0,41.965491
38,38,South Florida,fbs,American Athletic,54.619388,3,0,0,33.66703
39,39,Boise State,fbs,Pac-12,54.495054,2,1,0,48.284129
40,40,Missouri,fbs,SEC,54.212698,3,0,0,30.353618
41,41,Virginia,fbs,ACC,53.685466,2,1,0,35.477445
42,42,Houston,fbs,Big 12,53.619971,2,1,0,39.174935
43,43,James Madison,fbs,Sun Belt,53.06359,3,0,0,30.42036
44,44,North Dakota State,fbs,Mountain West,52.479344,4,0,0,29.122175
45,45,Cincinnati,fbs,Big 12,52.33621,3,0,0,34.204434
46,46,Florida State,fbs,ACC,52.094035,1,2,0,53.201145
